Experiment,System,Region,SubjectID,Condition,Hemisphere,Effect_Size,Modality,Task
Experiment1,MD,LH_postParietal,430_FED_20170426d_3T2,S,L,-0.554345,visual,passive
Experiment1,MD,LH_postParietal,431_FED_20160907d_3T2,S,L,-0.33388,visual,passive
Experiment1,MD,LH_postParietal,432_FED_20160907a_3T2,S,L,0.429312,visual,passive
Experiment1,MD,LH_postParietal,433_FED_20160908c_3T1,S,L,-0.06274,visual,passive
Experiment1,MD,LH_postParietal,434_FED_20160909c_3T2,S,L,-0.336216,visual,passive
Experiment1,MD,LH_postParietal,435_FED_20160909b_3T2,S,L,-0.487423,visual,passive
Experiment1,MD,LH_postParietal,436_FED_20160909d_3T2,S,L,-0.410145,visual,passive
Experiment1,MD,LH_postParietal,438_FED_20160929a_3T1,S,L,-0.561006,visual,passive
Experiment1,MD,LH_postParietal,441_FED_20161004a_3T1,S,L,-0.356799,visual,passive
Experiment1,MD,LH_postParietal,442_FED_20161004b_3T1,S,L,-1.142877,visual,passive
Experiment1,MD,LH_postParietal,448_FED_20161012b_3T2,S,L,-0.082868,visual,passive
Experiment1,MD,LH_postParietal,449_FED_20161012c_3T2,S,L,-0.338205,visual,passive
Experiment1,MD,LH_postParietal,449_FED_20170201b_3T2,S,L,-0.666288,visual,passive
Experiment1,MD,LH_postParietal,456_FED_20161019b_3T1,S,L,-0.693782,visual,passive
Experiment1,MD,LH_postParietal,461_FED_20161025a_3T1,S,L,0.007137,visual,passive
Experiment1,MD,LH_postParietal,472_FED_20161101a_3T2,S,L,0.041527,visual,passive
Experiment1,MD,LH_postParietal,473_FED_20161102a_3T1,S,L,-0.322385,visual,passive
Experiment1,MD,LH_postParietal,475_FED_20161103a_3T2,S,L,0.499767,visual,passive
Experiment1,MD,LH_postParietal,479_FED_20161104a_3T2,S,L,-1.376346,visual,passive
Experiment1,MD,LH_postParietal,489_FED_20161114d_3T1,S,L,-1.202995,visual,passive
Experiment1,MD,LH_postParietal,494_FED_20161114a_3T1,S,L,0.080232,visual,passive
Experiment1,MD,LH_postParietal,494_FED_20170106a_3T2,S,L,0.331876,visual,passive
Experiment1,MD,LH_postParietal,498_FED_20161121a_3T1,S,L,-0.390235,visual,passive
Experiment1,MD,LH_postParietal,499_FED_20161121b_3T1,S,L,0.051087,visual,passive
Experiment1,MD,LH_postParietal,505_FED_20161204_3T2,S,L,-0.614685,visual,passive
Experiment1,MD,LH_postParietal,516_FED_20161217a_3T2,S,L,0.047548,visual,passive
Experiment1,MD,LH_postParietal,520_FED_20161227a_3T2,S,L,0.275907,visual,passive
Experiment1,MD,LH_postParietal,521_FED_20161228a_3T2,S,L,-0.673051,visual,passive
Experiment1,MD,LH_postParietal,522_FED_20161228e_3T2,S,L,-0.573686,visual,passive
Experiment1,MD,LH_postParietal,523_FED_20161227b_3T2,S,L,-0.37751,visual,passive
Experiment1,MD,LH_postParietal,524_FED_20170105a_3T2,S,L,-0.121584,visual,passive
Experiment1,MD,LH_postParietal,525_FED_20170109a_3T2,S,L,-0.555009,visual,passive
Experiment1,MD,LH_postParietal,526_FED_20170111a_3T2,S,L,0.203992,visual,passive
Experiment1,MD,LH_postParietal,527_FED_20170113a_3T2,S,L,1.182157,visual,passive
Experiment1,MD,LH_postParietal,528_FED_20170116a_3T2,S,L,-0.675784,visual,passive
Experiment1,MD,LH_postParietal,529_FED_20170116b_3T2,S,L,0.238099,visual,passive
Experiment1,MD,LH_postParietal,530_FED_20170114a_3T2,S,L,0.310936,visual,passive
Experiment1,MD,LH_postParietal,531_FED_20170117a_3T2,S,L,-0.58239,visual,passive
Experiment1,MD,LH_postParietal,532_FED_20170118b_3T2,S,L,0.294413,visual,passive
Experiment1,MD,LH_postParietal,534_FED_20170119b_3T2,S,L,-1.036186,visual,passive
Experiment1,MD,LH_postParietal,535_FED_20170123b_3T2,S,L,-0.780596,visual,passive
Experiment1,MD,LH_postParietal,536_FED_20170125a_3T2,S,L,-0.054327,visual,passive
Experiment1,MD,LH_postParietal,537_FED_20170126b_3T2,S,L,-0.488705,visual,passive
Experiment1,MD,LH_postParietal,539_FED_20170127a_3T2,S,L,0.262772,visual,passive
Experiment1,MD,LH_postParietal,541_FED_20170203b_3T2,S,L,-0.242734,visual,passive
Experiment1,MD,LH_postParietal,541_FED_20170615a_3T2,S,L,0.597505,visual,passive
Experiment1,MD,LH_postParietal,545_FED_20170217c_3T2,S,L,-0.155871,visual,passive
Experiment1,MD,LH_postParietal,550_FED_20170228c_3T2,S,L,-1.410465,visual,passive
Experiment1,MD,LH_postParietal,551_FED_20170302b_3T2,S,L,-0.685831,visual,passive
Experiment1,MD,LH_postParietal,551_FED_20170412a_3T2,S,L,-0.520564,visual,passive
Experiment1,MD,LH_postParietal,552_FED_20170307a_3T2,S,L,0.4402,visual,passive
Experiment1,MD,LH_postParietal,553_FED_20170313d_3T2,S,L,-0.979468,visual,passive
Experiment1,MD,LH_postParietal,554_FED_20170315a_3T2,S,L,0.161458,visual,passive
Experiment1,MD,LH_postParietal,555_FED_20170315b_3T2,S,L,0.158253,visual,passive
Experiment1,MD,LH_postParietal,555_FED_20170426c_3T2,S,L,-0.120189,visual,passive
